"Accession" "TF" "Tissue" "Cell" "IMPACT" "File" "CellDeriv"
"GSM449525" "ETS1" "BLOOD" "Jurkat (Clone E6-1)" "1" "PRJNA119913_GSM449525_ETS1_peaks.narrowPeak" "T.cell"
"GSM449526" "RUNX1" "BLOOD" "Jurkat (Clone E6-1)" "2" "PRJNA119913_GSM449526_RUNX1_peaks.narrowPeak" "T cell"
"GSM468181" "RXRA" "BLOOD" "NB-4" "3" "PRJNA121283_GSM468181_RXRA_peaks.narrowPeak" "B cell"
"GSM468182" "RARA" "BLOOD" "NB-4" "4" "PRJNA121283_GSM468182_RARA_peaks.narrowPeak" "B cell"
"GSM468184" "RXRA" "BLOOD" "Leukemia, Myeloid" "5" "PRJNA121283_GSM468184_RXRA_peaks.narrowPeak" "Myeloid"
"GSM468199" "RXRA" "BLOOD" "NB-4" "3" "PRJNA121283_GSM468199_RXRA_peaks.narrowPeak" "B cell"
"GSM468200" "RARA" "BLOOD" "NB-4" "4" "PRJNA121283_GSM468200_RARA_peaks.narrowPeak" "B cell"
"GSM468204" "RXRA" "BLOOD" "Leukemia, Myeloid" "5" "PRJNA121283_GSM468204_RXRA_peaks.narrowPeak" "Myeloid"
"GSM468211" "RARA" "BLOOD" "UPR9" "6" "PRJNA121283_GSM468211_RARA_peaks.narrowPeak" "Myeloid"
"GSM468212" "RARA" "BLOOD" "UPR9" "6" "PRJNA121283_GSM468212_RARA_peaks.narrowPeak" "Myeloid"
"GSM468213" "RXRA" "BLOOD" "UPR9" "7" "PRJNA121283_GSM468213_RXRA_peaks.narrowPeak" "Myeloid"
"GSM468214" "RXRA" "BLOOD" "UPR9" "7" "PRJNA121283_GSM468214_RXRA_peaks.narrowPeak" "Myeloid"
"GSM534471" "CTCF" "ADIPOCYTE" "Adipose stromal cell" "8" "PRJNA126099_GSM534471_CTCF_peaks.narrowPeak" "Adipose stroma"
"GSM534478" "CTCF" "ADIPOCYTE" "Adipose stromal cell" "8" "PRJNA126099_GSM534478_CTCF_peaks.narrowPeak" "Adipose stroma"
"GSM534485" "CTCF" "ADIPOCYTE" "Adipose stromal cell" "8" "PRJNA126099_GSM534485_CTCF_peaks.narrowPeak" "Adipose stroma"
"GSM534492" "CTCF" "ADIPOCYTE" "Adipose stromal cell" "8" "PRJNA126099_GSM534492_CTCF_peaks.narrowPeak" "Adipose stroma"
"GSM534493" "PPARG" "ADIPOCYTE" "Adipose stromal cell" "9" "PRJNA126099_GSM534493_PPARG_peaks.narrowPeak" "Adipose stroma"
"GSM534494" "PPARG" "ADIPOCYTE" "Adipose stromal cell" "9" "PRJNA126099_GSM534494_PPARG_peaks.narrowPeak" "Adipose stroma"
"GSM558630" "VDR" "BLOOD" "Lymphoblastoid cell line" "10" "PRJNA128697_GSM558630_VDR_peaks.narrowPeak" "Lymphoblastoid"
"GSM558631" "VDR" "BLOOD" "Lymphoblastoid cell line" "10" "PRJNA128697_GSM558631_VDR_peaks.narrowPeak" "Lymphoblastoid"
"GSM558632" "VDR" "BLOOD" "Lymphoblastoid cell line" "10" "PRJNA128697_GSM558632_VDR_peaks.narrowPeak" "Lymphoblastoid"
"GSM558633" "VDR" "BLOOD" "Lymphoblastoid cell line" "10" "PRJNA128697_GSM558633_VDR_peaks.narrowPeak" "Lymphoblastoid"
"GSM558634" "VDR" "BLOOD" "Lymphoblastoid cell line" "10" "PRJNA128697_GSM558634_VDR_peaks.narrowPeak" "Lymphoblastoid"
"GSM558635" "VDR" "BLOOD" "Lymphoblastoid cell line" "10" "PRJNA128697_GSM558635_VDR_peaks.narrowPeak" "Lymphoblastoid"
"GSM558636" "VDR" "BLOOD" "Lymphoblastoid cell line" "10" "PRJNA128697_GSM558636_VDR_peaks.narrowPeak" "Lymphoblastoid"
"GSM558637" "VDR" "BLOOD" "Lymphoblastoid cell line" "10" "PRJNA128697_GSM558637_VDR_peaks.narrowPeak" "Lymphoblastoid"
"GSM558678" "ETV1" "GI" "GIST-48" "11" "PRJNA129281_GSM558678_ETV1_peaks.narrowPeak" "Gastrointestinal Tract"
"GSM542547" "ESR2" "SARCOMA" "U2OS" "12" "PRJNA129355_GSM542547_ESR2_peaks.narrowPeak" "Bone"
"GSM542548" "ESR2" "SARCOMA" "U2OS" "12" "PRJNA129355_GSM542548_ESR2_peaks.narrowPeak" "Bone"
