Accession	TF	Tissue	Cell	IMPACT	File	CellDeriv
GSM449525	ETS1	BLOOD	Jurkat (Clone E6-1)	1	PRJNA119913_GSM449525_ETS1_peaks.narrowPeak	T.cell
GSM449526	RUNX1	BLOOD	Jurkat (Clone E6-1)	2	PRJNA119913_GSM449526_RUNX1_peaks.narrowPeak	T cell
GSM468213	RXRA	BLOOD	UPR9	3	PRJNA121283_GSM468213_RXRA_peaks.narrowPeak	Myeloid
GSM468214	RXRA	BLOOD	UPR9	3	PRJNA121283_GSM468214_RXRA_peaks.narrowPeak	Myeloid
GSM534471	CTCF	ADIPOCYTE	Adipose stromal cell	4	PRJNA126099_GSM534471_CTCF_peaks.narrowPeak	Adipose stroma
GSM534478	CTCF	ADIPOCYTE	Adipose stromal cell	4	PRJNA126099_GSM534478_CTCF_peaks.narrowPeak	Adipose stroma
GSM534485	CTCF	ADIPOCYTE	Adipose stromal cell	4	PRJNA126099_GSM534485_CTCF_peaks.narrowPeak	Adipose stroma
GSM534492	CTCF	ADIPOCYTE	Adipose stromal cell	4	PRJNA126099_GSM534492_CTCF_peaks.narrowPeak	Adipose stroma
GSM534493	PPARG	ADIPOCYTE	Adipose stromal cell	5	PRJNA126099_GSM534493_PPARG_peaks.narrowPeak	Adipose stroma
GSM534494	PPARG	ADIPOCYTE	Adipose stromal cell	5	PRJNA126099_GSM534494_PPARG_peaks.narrowPeak	Adipose stroma
GSM558630	VDR	BLOOD	Lymphoblastoid cell line	6	PRJNA128697_GSM558630_VDR_peaks.narrowPeak	Lymphoblastoid
GSM558631	VDR	BLOOD	Lymphoblastoid cell line	6	PRJNA128697_GSM558631_VDR_peaks.narrowPeak	Lymphoblastoid
GSM558632	VDR	BLOOD	Lymphoblastoid cell line	6	PRJNA128697_GSM558632_VDR_peaks.narrowPeak	Lymphoblastoid
GSM558633	VDR	BLOOD	Lymphoblastoid cell line	6	PRJNA128697_GSM558633_VDR_peaks.narrowPeak	Lymphoblastoid
GSM558634	VDR	BLOOD	Lymphoblastoid cell line	6	PRJNA128697_GSM558634_VDR_peaks.narrowPeak	Lymphoblastoid
GSM558635	VDR	BLOOD	Lymphoblastoid cell line	6	PRJNA128697_GSM558635_VDR_peaks.narrowPeak	Lymphoblastoid
GSM558636	VDR	BLOOD	Lymphoblastoid cell line	6	PRJNA128697_GSM558636_VDR_peaks.narrowPeak	Lymphoblastoid
GSM558637	VDR	BLOOD	Lymphoblastoid cell line	6	PRJNA128697_GSM558637_VDR_peaks.narrowPeak	Lymphoblastoid
GSM558678	ETV1	GI	GIST-48	7	PRJNA129281_GSM558678_ETV1_peaks.narrowPeak	Gastrointestinal Tract
GSM542547	ESR2	SARCOMA	U2OS	8	PRJNA129355_GSM542547_ESR2_peaks.narrowPeak	Bone
GSM542548	ESR2	SARCOMA	U2OS	8	PRJNA129355_GSM542548_ESR2_peaks.narrowPeak	Bone
GSM537063	E2F4	BLOOD	GM06990	9	PRJNA129517_GSM537063_E2F4_peaks.narrowPeak	B cell
GSM518375	CTCF	STEMCELL	hESC H1	10	PRJNA129611_GSM518375_CTCF_peaks.narrowPeak	Stem cell
GSM594602	ESR1	BREAST	MCF-7	11	PRJNA130083_GSM594602_ESR1_peaks.narrowPeak	Breast
GSM594603	ESR1	BREAST	MCF-7	11	PRJNA130083_GSM594603_ESR1_peaks.narrowPeak	Breast
GSM589236	ESR1	BREAST	MCF-7	11	PRJNA130441_GSM589236_ESR1_peaks.narrowPeak	Breast
GSM589237	ESR1	BREAST	MCF-7	11	PRJNA130441_GSM589237_ESR1_peaks.narrowPeak	Breast
GSM589238	ESR1	BREAST	T-47D	12	PRJNA130441_GSM589238_ESR1_peaks.narrowPeak	Breast
GSM589239	ESR1	BREAST	T-47D	12	PRJNA130441_GSM589239_ESR1_peaks.narrowPeak	Breast
GSM589240	ESR1	BREAST	Ishikawa	13	PRJNA130441_GSM589240_ESR1_peaks.narrowPeak	Breast
GSM589241	ESR1	BREAST	Ishikawa	13	PRJNA130441_GSM589241_ESR1_peaks.narrowPeak	Breast
GSM589242	ESR1	BREAST	ECC-1	14	PRJNA130441_GSM589242_ESR1_peaks.narrowPeak	Endometrium
GSM589243	ESR1	BREAST	ECC-1	14	PRJNA130441_GSM589243_ESR1_peaks.narrowPeak	Endometrium
