Accession	TF	Tissue	Cell	File	CellDeriv	IMPACT_new
GSM449525	ETS1	BLOOD	Jurkat (Clone E6-1)	PRJNA119913_GSM449525_ETS1_peaks.narrowPeak	T cell	1
GSM449526	RUNX1	BLOOD	Jurkat (Clone E6-1)	PRJNA119913_GSM449526_RUNX1_peaks.narrowPeak	T cell	2
GSM722170	RUNX1	BLOOD	Jurkat (Clone E6-1)	PRJNA142977_GSM722170_RUNX1_peaks.narrowPeak	T cell	2
GSM468213	RXRA	BLOOD	UPR9	PRJNA121283_GSM468213_RXRA_peaks.narrowPeak	Myeloid	3
GSM468214	RXRA	BLOOD	UPR9	PRJNA121283_GSM468214_RXRA_peaks.narrowPeak	Myeloid	3
GSM534471	CTCF	ADIPOCYTE	Adipose stromal cell	PRJNA126099_GSM534471_CTCF_peaks.narrowPeak	Adipose stroma	4
GSM534478	CTCF	ADIPOCYTE	Adipose stromal cell	PRJNA126099_GSM534478_CTCF_peaks.narrowPeak	Adipose stroma	4
GSM534485	CTCF	ADIPOCYTE	Adipose stromal cell	PRJNA126099_GSM534485_CTCF_peaks.narrowPeak	Adipose stroma	4
GSM534492	CTCF	ADIPOCYTE	Adipose stromal cell	PRJNA126099_GSM534492_CTCF_peaks.narrowPeak	Adipose stroma	4
GSM534493	PPARG	ADIPOCYTE	Adipose stromal cell	PRJNA126099_GSM534493_PPARG_peaks.narrowPeak	Adipose stroma	5
GSM534494	PPARG	ADIPOCYTE	Adipose stromal cell	PRJNA126099_GSM534494_PPARG_peaks.narrowPeak	Adipose stroma	5
GSM558630	VDR	BLOOD	Lymphoblastoid cell line	PRJNA128697_GSM558630_VDR_peaks.narrowPeak	Lymphoblastoid	6
GSM558631	VDR	BLOOD	Lymphoblastoid cell line	PRJNA128697_GSM558631_VDR_peaks.narrowPeak	Lymphoblastoid	6
GSM558632	VDR	BLOOD	Lymphoblastoid cell line	PRJNA128697_GSM558632_VDR_peaks.narrowPeak	Lymphoblastoid	6
GSM558633	VDR	BLOOD	Lymphoblastoid cell line	PRJNA128697_GSM558633_VDR_peaks.narrowPeak	Lymphoblastoid	6
GSM558634	VDR	BLOOD	Lymphoblastoid cell line	PRJNA128697_GSM558634_VDR_peaks.narrowPeak	Lymphoblastoid	6
GSM558635	VDR	BLOOD	Lymphoblastoid cell line	PRJNA128697_GSM558635_VDR_peaks.narrowPeak	Lymphoblastoid	6
GSM558636	VDR	BLOOD	Lymphoblastoid cell line	PRJNA128697_GSM558636_VDR_peaks.narrowPeak	Lymphoblastoid	6
GSM558637	VDR	BLOOD	Lymphoblastoid cell line	PRJNA128697_GSM558637_VDR_peaks.narrowPeak	Lymphoblastoid	6
GSM558678	ETV1	GI	GIST-48	PRJNA129281_GSM558678_ETV1_peaks.narrowPeak	Gastrointestinal Tract	7
GSM542547	ESR2	SARCOMA	U2OS	PRJNA129355_GSM542547_ESR2_peaks.narrowPeak	Bone	8
GSM542548	ESR2	SARCOMA	U2OS	PRJNA129355_GSM542548_ESR2_peaks.narrowPeak	Bone	8
GSM537063	E2F4	BLOOD	GM06990	PRJNA129517_GSM537063_E2F4_peaks.narrowPeak	B cell	9
GSM518375	CTCF	STEMCELL	hESC H1	PRJNA129611_GSM518375_CTCF_peaks.narrowPeak	Stem cell	10
GSM624077	CTCF	STEMCELL	hESC H1	PRJNA63443_GSM624077_CTCF_peaks.narrowPeak	Stem cell	10
GSM646334	CTCF	STEMCELL	hESC H1	PRJNA63443_GSM646334_CTCF_peaks.narrowPeak	Stem cell	10
GSM646335	CTCF	STEMCELL	hESC H1	PRJNA63443_GSM646335_CTCF_peaks.narrowPeak	Stem cell	10
GSM733672	CTCF	STEMCELL	hESC H1	PRJNA63443_GSM733672_CTCF_peaks.narrowPeak	Stem cell	10
GSM822297	CTCF	STEMCELL	hESC H1	PRJNA63443_GSM822297_CTCF_peaks.narrowPeak	Stem cell	10
GSM803419	CTCF	STEMCELL	hESC H1	PRJNA63447_GSM803419_CTCF_peaks.narrowPeak	Stem cell	10
GSM594602	ESR1	BREAST	MCF-7	PRJNA130083_GSM594602_ESR1_peaks.narrowPeak	Breast	11
GSM594603	ESR1	BREAST	MCF-7	PRJNA130083_GSM594603_ESR1_peaks.narrowPeak	Breast	11
GSM589236	ESR1	BREAST	MCF-7	PRJNA130441_GSM589236_ESR1_peaks.narrowPeak	Breast	11
GSM589237	ESR1	BREAST	MCF-7	PRJNA130441_GSM589237_ESR1_peaks.narrowPeak	Breast	11
GSM798423	ESR1	BREAST	MCF-7	PRJNA147213_GSM798423_ESR1_peaks.narrowPeak	Breast	11
GSM798424	ESR1	BREAST	MCF-7	PRJNA147213_GSM798424_ESR1_peaks.narrowPeak	Breast	11
GSM798425	ESR1	BREAST	MCF-7	PRJNA147213_GSM798425_ESR1_peaks.narrowPeak	Breast	11
GSM798432	ESR1	BREAST	MCF-7	PRJNA147213_GSM798432_ESR1_peaks.narrowPeak	Breast	11
GSM798433	ESR1	BREAST	MCF-7	PRJNA147213_GSM798433_ESR1_peaks.narrowPeak	Breast	11
GSM798434	ESR1	BREAST	MCF-7	PRJNA147213_GSM798434_ESR1_peaks.narrowPeak	Breast	11
GSM798435	ESR1	BREAST	MCF-7	PRJNA147213_GSM798435_ESR1_peaks.narrowPeak	Breast	11
GSM986059	ESR1	BREAST	MCF-7	PRJNA172877_GSM986059_ESR1_peaks.narrowPeak	Breast	11
GSM986060	ESR1	BREAST	MCF-7	PRJNA172877_GSM986060_ESR1_peaks.narrowPeak	Breast	11
GSM986063	ESR1	BREAST	MCF-7	PRJNA172877_GSM986063_ESR1_peaks.narrowPeak	Breast	11
GSM986064	ESR1	BREAST	MCF-7	PRJNA172877_GSM986064_ESR1_peaks.narrowPeak	Breast	11
GSM1019125	ESR1	BREAST	MCF-7	PRJNA177430_GSM1019125_ESR1_peaks.narrowPeak	Breast	11
GSM1019128	ESR1	BREAST	MCF-7	PRJNA177430_GSM1019128_ESR1_peaks.narrowPeak	Breast	11
GSM1019131	ESR1	BREAST	MCF-7	PRJNA177430_GSM1019131_ESR1_peaks.narrowPeak	Breast	11
GSM1295590	ESR1	BREAST	MCF-7	PRJNA232304_GSM1295590_ESR1_peaks.narrowPeak	Breast	11
GSM1295591	ESR1	BREAST	MCF-7	PRJNA232304_GSM1295591_ESR1_peaks.narrowPeak	Breast	11
GSM1325246	ESR1	BREAST	MCF-7	PRJNA237893_GSM1325246_ESR1_peaks.narrowPeak	Breast	11
GSM1325247	ESR1	BREAST	MCF-7	PRJNA237893_GSM1325247_ESR1_peaks.narrowPeak	Breast	11
GSM1325248	ESR1	BREAST	MCF-7	PRJNA237893_GSM1325248_ESR1_peaks.narrowPeak	Breast	11
GSM1325249	ESR1	BREAST	MCF-7	PRJNA237893_GSM1325249_ESR1_peaks.narrowPeak	Breast	11
GSM1325250	ESR1	BREAST	MCF-7	PRJNA237893_GSM1325250_ESR1_peaks.narrowPeak	Breast	11
GSM1325251	ESR1	BREAST	MCF-7	PRJNA237893_GSM1325251_ESR1_peaks.narrowPeak	Breast	11
